id;sexo;edad;provincia;hab;hijos;clase_social;situacion_laboral;educacion;prob_participacion_electoral;prob_voto_partido;partido_afin_ideologicamente;voto_partidario_elecciones_anteriores;escala_iz_der;candidato_edad_ideal;candidato_clasesocial_ideal;candidato_experiencialaboral_ideal;candidato_carreraprofesional_ideal;canditado_honrado;canditado_preparado;canditado_experimentado;canditado_empático;canditado_inteligente;candidato_valiente;candidato_carismatico;candidato_respetuoso;candidato_bueno;candidato_determinado;candidato_egoista;candidato_intransigente;candidato_perezoso;candidato_soberbio;candidato_frívolo;candidato_tranformador;candidato_autoritario;candidato_conciliador;candidato_común;candidato_cercano;candidato_confiable;candidato_cuidadoso;candidato_económico
11;Mujer;35-44;Barcelona;Más de 10.000;No convivo con ningún/a hijo/a;Media;Trabaja;Segundo grado, segundo ciclo;9;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);5;Menos de 60 años;Me es indiferente;Me es indiferente;Me es indiferente;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez
12;Hombre;45-54;Madrid;Más de 10.000;No convivo con ningún/a hijo/a;Media;Trabaja;Tercer grado, segundo ciclo y más;9;No lo sé;Ninguno;Voté en blanco;5;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal
13;Mujer;55-64;Madrid;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Pensionista;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;PP (Partido Popular);PP (Partido Popular);PP (Partido Popular);6;Me es indiferente;Me es indiferente;Me es indiferente;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo
14;Mujer;55-64;Salamanca;Más de 10.000;No convivo con ningún/a hijo/a;Media;Pensionista;Tercer grado, segundo ciclo y más;10 con toda seguridad, iría a votar;No lo sé;Otro;Ciudadanos;3;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector público;Con una carrera profesional dentro de la política;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz
15;Hombre;18-24;Málaga;Más de 10.000;No convivo con ningún/a hijo/a;Media;Parado;Segundo grado, segundo ciclo;0 con toda seguridad, NO iría a votar;PACMA (Partido Animalista Contra el Maltrato Animal);PACMA (Partido Animalista Contra el Maltrato Animal);PACMA (Partido Animalista Contra el Maltrato Animal);2;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
16;Hombre;25-34;Málaga;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Estudiante;Segundo grado, segundo ciclo;3;No lo sé;PP (Partido Popular);No voté;No lo sé;Me es indiferente;De clase media-baja o baja;Con experiencia laboral en el sector público;Me es indiferente;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz
17;Mujer;45-54;Córdoba;Más de 10.000;Sí, con uno/a de 18 años o más;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;0 con toda seguridad, NO iría a votar;No lo sé;PSOE (Partido Socialista Obrero Español);No lo sé;5;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz
18;Mujer;65+;Pontevedra;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;10 con toda seguridad, iría a votar;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);5;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez
19;Hombre;25-34;Valencia/València;Menos de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;8;No lo sé;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);4;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz
20;Mujer;45-54;Almería;Más de 10.000;No convivo con ningún/a hijo/a;Media;Trabaja;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;No lo sé;No lo sé;Voté nulo;5;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
21;Mujer;65+;Barcelona;Más de 10.000;Sí, con uno/a de 9 a 12 años;Media baja / Baja;Pensionista;Segundo grado, primer ciclo y menos;3;ERC - Sobiranistes;PSOE (Partido Socialista Obrero Español);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En;1;Me es indiferente;De clase media-alta o alta;Con experiencia laboral en el sector privado;Con una carrera profesional dentro de la política;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal
22;Mujer;25-34;Coruña, A;Más de 10.000;Sí, con uno/a de 9 a 12 años;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;7;Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En;6;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector público;Con una carrera profesional dentro de la política;Santiago Abascal;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal
23;Mujer;25-34;Girona;Más de 10.000;No convivo con ningún/a hijo/a;Media baja / Baja;Trabaja;Segundo grado, segundo ciclo;No lo sé;No lo sé;No lo sé;No lo sé;No lo sé;Me es indiferente;Me es indiferente;Me es indiferente;Me es indiferente;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez
24;Mujer;45-54;Cádiz;Más de 10.000;No convivo con ningún/a hijo/a;Media baja / Baja;Parado;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);3;Menos de 60 años;Me es indiferente;Me es indiferente;Me es indiferente;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Santiago Abascal;Pedro Sánchez;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Yolanda Díaz
25;Mujer;25-34;Cáceres;Más de 10.000;No convivo con ningún/a hijo/a;Media baja / Baja;Trabaja;Segundo grado, primer ciclo y menos;9;PSOE (Partido Socialista Obrero Español);PSOE (Partido Socialista Obrero Español);PACMA (Partido Animalista Contra el Maltrato Animal);7;Más de 60 años;De clase media-alta o alta;Con experiencia laboral en el sector público;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Yolanda Díaz;Pedro Sánchez;Pedro Sánchez
26;Hombre;35-44;Burgos;Más de 10.000;Sí, con uno/a de 0 a 8 años;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;8;PP (Partido Popular);Ciudadanos;Vox;7;Me es indiferente;De clase media-alta o alta;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo
27;Hombre;35-44;Valladolid;Más de 10.000;No convivo con ningún/a hijo/a;Alta / Media Alta;Trabaja;Tercer grado, segundo ciclo y más;7;PACMA (Partido Animalista Contra el Maltrato Animal);PACMA (Partido Animalista Contra el Maltrato Animal);PACMA (Partido Animalista Contra el Maltrato Animal);5;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional dentro de la política;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Pedro Sánchez;Alberto Núñez Feijóo;Santiago Abascal;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz
28;Hombre;35-44;Murcia;Más de 10.000;No convivo con ningún/a hijo/a;Media baja / Baja;Trabaja;Tercer grado, primer ciclo;5;No lo sé;No lo sé;No voté;5;Me es indiferente;Me es indiferente;Con experiencia laboral en el sector público;Con una carrera profesional dentro de la política;Alberto Núñez Feijóo;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Pedro Sánchez;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo
29;Mujer;45-54;Valencia/València;Más de 10.000;Sí, con uno/a de 0 a 8 años;Media baja / Baja;Trabaja;Tercer grado, primer ciclo;10 con toda seguridad, iría a votar;No lo sé;Ninguno;No lo sé;No lo sé;Me es indiferente;Me es indiferente;Con experiencia laboral en el sector privado;Me es indiferente;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal
30;Hombre;35-44;Cádiz;Más de 10.000;No convivo con ningún/a hijo/a;Media baja / Baja;Trabaja;Segundo grado, segundo ciclo;10 con toda seguridad, iría a votar;Más País (Equo, Compromís, CHA);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…);Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En;2;Más de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz;Alberto Núñez Feijóo;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Santiago Abascal;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Yolanda Díaz;Yolanda Díaz;Pedro Sánchez;Yolanda Díaz
31;Mujer;45-54;Ciudad Real;Más de 10.000;No convivo con ningún/a hijo/a;Media baja / Baja;Trabaja;Tercer grado, segundo ciclo y más;No lo sé;No lo sé;Ciudadanos;PP (Partido Popular);6;Menos de 60 años;De clase media-baja o baja;Con experiencia laboral en el sector privado;Con una carrera profesional fuera de la política;Yolanda Díaz;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Santiago Abascal;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Santiago Abascal;Santiago Abascal;Pedro Sánchez;Pedro Sánchez;Santiago Abascal;Alberto Núñez Feijóo;Pedro Sánchez;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Alberto Núñez Feijóo;Yolanda Díaz;Alberto Núñez Feijóo
